id,query,ground_truth,expect_key_words,language,description
1,ycloud是什么？,YCloud是友云采FED自研的一套基于knockoutjs的开源UI组件库，主要服务于PC端的企业级Web应用. YCloud同时也是一家领先的WhatsApp业务服务提供商，致力于帮助企业通过WhatsApp这一全球最流行的社交应用来发展业务.,"WhatsApp
knockoutjs",zh_cn,
2,百度,百度是一家中国跨国科技公司，总部位于北京海淀区，成立于2000年。它是全球最大的中文搜索引擎之一，致力于提供互联网相关服务、产品和人工智能技术。,baidu.com,zh_cn,
3,紫金的销售收入,"紫金矿业2023年的营业收入约为2934.03亿元,同比增长8.54%。",2934,zh_cn,
4,Vyro AI是什么公司,"Vyro AI 是一家专注于开发基于人工智能和机器学习的内容创作工具的公司。根据其官网信息:
Vyro 已经开发了 15 多款产品，拥有超过 1.5 亿次下载量和 80 万日活用户。
该公司的主要产品包括 AI 图像生成器 Imagine、AI 照片编辑器 PhotoShot 等。
Vyro 的团队擅长应用前沿的生成式 AI 技术，并致力于为用户提供创新的内容创作工具。
该公司成立于巴基斯坦，是当地一家具有多元化和创新实力的科技公司。
总之, Vyro AI 是一家专注于开发基于生成式 AI 的创意工具的科技公司，在内容创作领域有较强的技术实力和产品线。","人工智能
图片",zh_cn,
5,"列出以下公司“OpenAI, perplexity, anthropic, mistral”的“创始人，成立时间，产品，投资人”，用表格展示","公司名称
创始人
成立时间
产品
投资人
OpenAI
Sam Altman
2015年
GPT语言模型
包括Elon Musk、Peter Thiel等在内的投资者
Perplexity AI
Aravind Srinivas
2018年
基于OpenAI模型的问答助手
IVP、NVIDIA、Jeff Bezos、NEA、Elad Gil、Nat Friedman等
Anthropic
Dario Amodei
2021年
生成式AI模型
包括主权财富基金在内的投资者
Mistral
未提及
未提及
未提及
未提及","Sam Altman
Aravind
Srinivas",zh_cn,
6,虎门大桥过路费多少钱？,虎门大桥的过路费为每车次收费40元,40,zh_cn,
7,How did Musk earn the first bucket of gold in his life?,"Elon Musk earned his first significant fortune from the sale of his web software company, Zip2. Musk and his brother Kimbal founded Zip2 in 1995. The company, which provided an online city guide platform, was quite successful and was purchased by Compaq in 1999 for more than $300 million. From this sale, Musk received around $22 million for his 7% share",Zip2,en,
8,iask.ai 2024年3月的访问量。,iAsk.Ai的2024年3月访问量为 3.3M。,.3.3||3.4,zh_cn,
9,Monica 2023年有多少用户？,Monica在2023年已经有超过150万用户,150,zh_cn,
10,What will Trump do to China if he takes office again?,"If Trump takes office again, his stance on China is expected to remain tough and potentially escalate. During his previous term, Trump initiated a trade war with China by imposing significant tariffs on Chinese imports. He has indicated that if reelected, he plans to intensify this trade war by imposing tariffs as high as 60% or more on Chinese imports
This move is part of his strategy to address what he perceives as unfair trade practices by China and to protect American industries and jobs from what he views as Chinese economic threats
Furthermore, Trump's combative approach towards China extends beyond trade policies. He has expressed intentions to phase out Chinese imports of essential goods over a four-year period, including electronics, steel, and pharmaceuticals. Additionally, Trump aims to ban Chinese companies from owning critical U.S. infrastructure in sectors such as energy, technology, and agriculture, highlighting national security concerns underpinning his China policy
Overall, Trump's stance towards China is expected to prioritize protecting American economic interests and maintaining a competitive edge in key industries. If reelected, he is likely to continue employing tariffs and trade restrictions to address what he sees as imbalances in the economic relationship between the U.S. and China.",60%,en,
11,Microsoft 2021 first quarter Financial report,"Microsoft reported strong financial results for the first quarter of its 2021 fiscal year. The company beat analysts' expectations on both earnings and revenue.
Key highlights:
Adjusted earnings per share (EPS) was $1.82, compared to the expected $1.55.
Revenue grew 12% year-over-year to $37.2 billion, exceeding the expected $35.7 billion.
Microsoft's Intelligent Cloud segment, which includes the Azure cloud computing platform, saw revenue grow 20% year-over-year, also beating expectations.
Azure revenue grew 48% year-over-year, driving the strong performance of the Intelligent Cloud segment.
Other areas like Surface devices, Xbox gaming, and Microsoft 365 consumer subscriptions also saw significant revenue growth during the quarter.","48%
37.2",en,
12,What is Toyota's biggest risk in the future?, Toyota's biggest risk in the future is the consumer adoption of battery electric vehicles (BEVs),BEVs,en,
13,"What will the world auto industry look like in the future, Musk said?","Elon Musk warned that Chinese automakers will ""demolish"" their global competition unless other nations impose trade barriers to handicap the new wave of electric cars coming from China
Musk described Chinese brands like BYD as ""extremely good"" and the ""most competitive"" in the world
Musk stated that if there are no trade barriers established, Chinese automakers will ""pretty much demolish most other car companies in the world""
He believes the Chinese auto industry has a high chance of achieving global domination
The search results also indicate that China overtook Japan as the world's biggest exporter of cars during 2023 and seems likely to repeat that success in 2024 as it starts to expand its sales activities into Europe
This suggests the Chinese auto industry will continue to grow its global market share in the future.
To counter this threat, Musk said Tesla is working on a new entry-level model that will use a new platform to slash production costs, allowing it to be sold for less than $30,000
This suggests Tesla is trying to make its EVs more affordable to better compete with Chinese automakers.",BYD||China,en,
14,Why is Boeing getting worse and worse?,"Boeing's deteriorating situation is multifaceted and can be attributed to several factors that have contributed to its ongoing challenges. One significant issue lies in Boeing's financial struggles, which have worsened in recent years. The company's heavy focus on profits, coupled with the financial strain caused by the pandemic and the grounding of the 737 Max aircraft, has led to Boeing being in its worst financial shape in over a century, with several years of deep losses recorded
Additionally, the dependence on the Defense division to offset losses in the Commercial sector is becoming increasingly unsustainable due to constraints in the US defense budget, leaving Boeing with limited options for recovery in that area
Furthermore, Boeing's internal culture and safety practices have also come under scrutiny. Reports suggest a lack of a safety culture within Boeing, with claims that employees who raise concerns are ignored, marginalized, threatened, or sidelined
Such issues can compromise the overall quality and safety standards of Boeing's aircraft, further eroding consumer trust and damaging the company's reputation.
On a more operational level, concerns have been raised about specific incidents, such as the recent recommendation by the FAA to visually inspect the mid-exit door plugs on Boeing 737-900ER aircraft, highlighting potential safety issues that need to be addressed
These incidents, in addition to the ongoing challenges faced by the company, contribute to the perception that Boeing's situation is worsening over time.",quality ,en,
