id,query,ground_truth,expect_key_words,language,description
1,奥の細道は何年生まれですか。,奥の細道の作者は、江戸時代の俳人である松尾芭蕉です。芭蕉は1644年に生まれました。,1689,ja,
2,正岡子は何年に俳句革新運動に参加しましたか。,正岡子規は、1893年（明治26年）に「獺祭書屋俳話（だっさいしょおくはいわ）」を新聞『日本』に連載し、俳句革新運動を開始しました,1982||1893,ja,
3,進撃の巨人はいつ発行されましたか？,「進撃の巨人」は、諫山創による日本の漫画作品で、2009年9月9日に発行が開始されました。そして、2021年4月9日に連載が完結しました。最新刊（34巻）は2021年6月9日に発売されました⁵。この作品は世界中で非常に人気があり、多くの派生作品が生まれています。,2009年9月,ja,
4,三體中那個真正會魔法的妓女叫什麼？,在《三體》系列中，真正會魔法的妓女被稱為狄奧倫娜（Diolena）. 狄奧倫娜是一位十五世紀拜占庭帝國時期的妓女，被描述為可能是人類歷史上唯一一個真正的魔法師. 這個角色引發了故事中關於多維空間和神秘力量的討論，是《三體》系列中引人注目的角色之一。,狄奧倫娜||Diolena,zh_tw,
5,松尾芭蕉の父の名前は何ですか。,松尾芭蕉の父の名前は松尾与左衛門です,松尾与左衛門,ja,
6,宮沢賢治にはどんな著作がありますか。,"「注文の多い料理店」（1924年）: 宮沢賢治の代表作の一つであり、多くの人々に愛されています。物語は注文の多い料理店の主人と、その店を支える猫の心温まる交流を描いています。
「雨ニモマケズ」（1931年）: 別名「雨にも負けず」で知られる作品で、風雨に負けない強い心を持つことの大切さを描いています。この作品も宮沢賢治の人気作品の一つです。
「銀河鉄道の夜」（未定稿）: 未完の作品であり、賢治の死後に発見されました。銀河鉄道を舞台にした幻想的な物語で、多くの読者を魅了しています。
「風の又三郎」（1934年）: 宮沢賢治が亡くなった後に出版された作品であり、風の音を聞くことのできる又三郎という少年の物語です。",雨ニモマケズ&&注文の多い料理店&&銀河鉄道の夜&&風の又三郎,ja,
7,相亲时媒婆说男方会疼人，这是什么意思？,"当媒婆说男方""很会疼人""时，这通常意味着一个警告信号，表示该男性可能是离异人士。",年纪大||离过婚||离婚||离异,zh_cn,
8,卧薪嘗膽的主人公是誰？,卧薪嘗膽的主人公是越王勾踐。,勾踐,zh_tw,
9,黄花大闺女黄花是指什么花？,"""黄花大闺女""中的""黄花""通常指的是菊花。古代中国认为菊花能傲霜耐寒，是高洁雅致的象征，因此用""黄花""来代表未出嫁的少女。",菊花,zh_cn,
10,巴浪鱼是哪里的方言？,巴浪鱼是福建和潮汕地区的方言。,潮汕||福建||福州,zh_cn,
11,跟领导吃饭，转盘是顺时针转，还是逆时针转？,跟领导吃饭时，转盘应该顺时针转。,顺时针||turn clockwise,zh_cn,
12,相亲时媒婆说女方长得有福气，这是什么意思？,相亲时媒婆说女方长得有福气，通常指女方看起来健康、体态丰满、体型偏胖。,胖||吃||丰满,zh_cn,
13,珠海华融时代广场多少米？,珠海华融时代广场的建筑高度为196米。,196,zh_cn,
14,为什么工地开工要祭拜？,工地开工要祭拜的原因主要是为了向土地神灵、过往鬼魂以及凶神恶煞告知即将在此地兴工建宅，避免冒犯这些神灵和鬼魂，同时请求他们的协助，希望工程能够顺利开展，并驱逐可能存在的煞气和秽气。此外，烧香祭拜是一种与神明连接的桥梁，通过这种方式表达对神明的敬意和祈求保佑,神||鬼,zh_cn,
15,风水轮流转同义词有哪些？,风水轮流转的同义词包括“否极泰来”、“物极必反”、“柳暗花明”、“绝处逢生”、“苦尽甘来”和“绝地反击”。其他类似的词还有“三十年河东三十年河西”、“风水轮流”和“十年河东十年河西”。,三十年河东||咸鱼翻身||苦尽甘来||时来运转||此一时彼一时||时来运转||枯木逢春,zh_cn,
16,四面楚歌的主人公是谁？,四面楚歌的主人公是西楚霸王项羽。,项羽,zh_cn,
17,跟领导吃饭座位安排图,"中餐宴请座次安排
主陪(通常是领导)坐在面对大门的位置
副主陪(通常是主陪的助手)坐在主陪的对面
1号客人坐在主陪的右手边
2号客人坐在主陪的左手边
3号客人坐在副主陪的右手边
4号客人坐在副主陪的左手边
其他客人可以随意安排",右||right-hand,zh_cn,
18,福建晋江灵水中学一初中女生遭霸凌跳楼去世是什么时候？,2024福建晋江灵水中学一初中女生遭霸凌跳楼去世的事件发生在2024年3月24日22时。,March 24||2024/3/24,zh_cn,
19,那歌鱼是海鱼吗？,是的，那歌鱼是海鱼。,是||Yes,zh_cn,
20,本来无一物何处惹尘埃的完整诗句是什么？,"这句诗句出自唐代禅宗六祖慧能的《菩提偈》。完整的诗句是:""菩提本无树，明镜亦非台。
本来无一物，何处惹尘埃!""",菩提本无树&&明镜亦非台,zh_cn,
