id,query,ground_truth,expect_key_words,language,description
1,百度,baidu.com,baidu.com,zh_cn,
2,京东,jd.com,jd.com,zh_cn,
3,少数派,sspai.com,sspai.com,zh_cn,
4,豆瓣,douban.com,douban.com,zh_cn,
5,Wait But Why,waitbutwhy.com,waitbutwhy.com,en,
6,Brain Pickings,brainpickings.org,brainpickings.org,en,
7,The New York Times,nytimes.com,nytimes.com,en,
8,Wikipedia,wikipedia.org,wikipedia.org,en,
9,聯合新聞網,udn.com,udn.com,zh_tw,
10,中時電子報,chinatimes.com,chinatimes.com,zh_tw,
11,巴哈姆特,gamer.com.tw,gamer.com.tw,zh_tw,
12,KKBOX,kkbox.com,kkbox.com,zh_tw,
13,楽天市場,rakuten.co.jp,rakuten.co.jp,ja,
14,ニコニコ動画,nicovideo.jp,nicovideo.jp,ja,
15,クックパッド,cookpad.com,cookpad.com,ja,
16,はてな,hatena.ne.jp,hatena.ne.jp,ja,
17,웹사이트 주소,naver.com,naver.com,ko,
18,Пикабу ,pikabu.ru,pikabu.ru,ru,
19,Лайфхакер ,lifehacker.ru,lifehacker.ru,ru,
20,Двач ,2ch.hk,2ch.hk,ru,
