id,query,ground_truth,assertion_type,assertion_value,language,description
1,iPhone7 как переключиться на навигацию Бэйдоу?,iPhone 7 не поддерживает нативно систему навигации BeiDou.,llm-rubric,iPhone 7 не поддерживает нативно систему навигации BeiDou.,ru,
2,У Huawei Mate 60 есть функция 5G?,"Согласно результатам поиска, смартфоны серии Huawei Mate 60 поддерживают функцию 5G. Несмотря на то, что при выпуске не было явно указано о поддержке 5G, пользовательские тесты и анализ показали, что серия Mate 60 имеет функцию 5G. Фактические тесты показали, что скорость сети Mate 60 Pro приближается или даже превышает 1000 Мбит/с, что значительно превышает 4G-сеть, что указывает на то, что он действительно поддерживает 5G-сеть, хотя в системных настройках может еще не отображаться опция переключения на 5G.",llm-rubric,он составляет 5G или достигает уровня 5G.,ru,
3,Knowledge Bases for Amazon Bedrock的自動數據同步功能是指什麼？,Knowledge Bases for Amazon Bedrock的自動數據同步功能是Amazon Bedrock的一項功能，它用於自動保持用戶在查詢時使用的知識庫處於最新狀態。當用戶上傳數據源以建立知識庫時，該數據源將定期自動同步，使知識庫反映最新信息。這樣一來，用戶就可以始終使用最新信息來增強根據模型的響應生成。,llm-rubric,它用於自動保持用戶在查詢時使用的知識庫處於最新狀態。當用戶上傳數據源以建立知識庫時，該數據源將定期自動同步，使知識庫反映最新信息。,zh_tw,
4,Скачайте файл ISO 7000 для меня.,"ISO является международным стандартом, и его можно приобрести через официальные каналы за плату.",llm-rubric,и его можно приобрести через официальные каналы за плату,ru,
5,What should I do if my Apple Watch forgets its password?,"Here are two methods you can use: Method 1: Restore your Apple Watch
          using the paired iPhone. Method 2: Perform a direct reset and restore
          on your Apple Watch.",llm-rubric,Here are two methods you can use: Method 1: Restore your Apple Watch using the paired iPhone. Method 2: Perform a direct reset and restore on your Apple Watch.,en,
6,hostinger选择中国，服务器可以是全球吗,虽然Hostinger在中国没有服务器，但是您可以全球购买他们的服务，并选择最接近您的地区的服务器位置，以获得更好的性能和体验。,llm-rubric,可以,zh_cn,
7,vocol-ai-逐字稿筆記神器有什麼特點和應用場景,Vocol.ai 是一款強大的 AI 語音協作平台，提供自動逐字稿和摘要功能，幫助使用者快速將會議或對話等語音轉換成文字記錄。以下是 Vocol.ai 的特點和應用場景： 特點： 語言支援：Vocol.ai 支援多種語言，包括中文、英文、日文等。 自然語言模型：採用先進的自然語言模型技術，如 GPT，提供準確的逐字稿和摘要功能。 AI 摘要：自動生成摘要和重點，提供快速閱讀整理資訊的功能。 易用介面：提供直觀易用的平台，方便使用者存取、分享和編輯逐字稿和摘要。 協作功能：支援雲端記錄、評論和劃重點，使與會者可以參與回顧和討論會議內容。 應用場景： 會議記錄：用於轉錄會議內容，製作逐字稿和摘要，方便後續查閱或分享。 學習筆記：學生可以使用 Vocol.ai 製作課堂筆記，製作逐字稿和摘要以供學習和記錄。 團隊協作：在跨國團隊或遠端工作情況下，協助團隊成員快速理解會議內容和進度。 媒體採訪：媒體人可以將採訪內容快速轉錄成文字，方便後續編輯和使用。 教育訓練：在線上課程或教學中使用 Vocol.ai 提供的逐字稿和摘要，幫助學生更好理解內容。 總的來說，Vocol.ai 是一個全方位的逐字稿和摘要工具，適用於各種工作場景和學習需求，提供快速、準確和便利的文字轉錄和整理功能。,llm-rubric,Vocol.ai 是一款強大的 AI 語音協作平台，提供自動逐字稿和摘要功能，幫助使用者快速將會議或對話等語音轉換成文字記錄。,zh_tw,
8,"Как веб-мастер личного сайта, помимо NPS и FRP, есть ли еще какие-либо инструменты для пробивки внутренней сети, которые можно развернуть на публичном сервере? Перечислите их и дайте краткое описание.","Zerotier - это open-source инструмент для пробивки внутренней сети, который использует технологию P2P и позволяет пробивать внутреннюю сеть без общедоступного сервера. Особенности Zerotier включают высокий уровень безопасности, неограниченное количество подключений в бесплатной версии, но требуется установка клиентского ПО на каждом устройстве. Подходит для личного использования или небольших команд.

Lanproxy - это инструмент для пробивки внутренней сети, разработанный на языке Go, поддерживает множество протоколов, таких как TCP, UDP и др. Он использует клиент-серверную архитектуру, где сервер развёртывается на общедоступном сервере, а клиент - на устройствах внутренней сети. Lanproxy имеет относительно простые функции, но легок в развёртывании и использовании.

Goproxy - мощный инструмент для пробивки внутренней сети, поддерживает множество протоколов, таких как TCP, UDP, HTTP, HTTPS и др. Он также использует клиент-серверную архитектуру, где сервер развёртывается на общедоступном сервере, а клиент - на устройствах внутренней сети. Goproxy поддерживает различные методы аутентификации и имеет веб-интерфейс для управления.

Ngrok - популярный инструмент для пробивки внутренней сети, также использует клиент-серверную архитектуру, где сервер развёртывается на общедоступном сервере, а клиент - на устройствах внутренней сети. Ngrok поддерживает множество протоколов, таких как TCP, HTTP, HTTPS и имеет API для разработки. Однако, бесплатная версия Ngrok имеет ограничения по количеству подключений, поддоменам и др.

Hamachi - известный инструмент для пробивки внутренней сети, который поддерживает динамический внешний IP адрес.

Cpolar - один из китайских инструментов для пробивки внутренней сети, подходит для сценариев, требующих пробивки внутренней сети.

NATAPP - ещё один инструмент для пробивки внутренней сети, подходит для личного использования.

Ew - популярный open-source инструмент для пробивки внутренней сети, отличается высокой производительностью.

SAKURA FRP - ещё один китайский инструмент для пробивки внутренней сети, подходит для различных сетевых сред.",icontains-any,"Zerotier,Lanproxy,Ngrok,Goproxy",ru,
9,C#中，is not null 与 != null的差別？,`is not null` 会执行直接的引用比较，不会受到操作符重载的影响,llm-rubric,其中一个点是：`is not null` 会执行直接的引用比较，不会受到操作符重载的影响,zh_cn,
10,Как использовать ChatGPT для перевода PDF-документов?,"1. Преобразуйте PDF-документ в редактируемый текстовый формат, такой как TXT или DOC.
2. Подайте этот текст в ChatGPT для последовательного перевода содержимого документа по предложениям.",llm-rubric,"конвертировать документ в редактируемый формат с помощью инструмента, а затем скопировать текст и отправить его в ChatGPT для перевода",ru,
