metadata,question,answer,ground_truths,keywords,answer_correctness,passed
"{'id': 1, 'scene': 'business_consulting', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/business_consulting.csv', 'language': 'ru'}",ycloud - что это?,"YCLOUD - это облачная платформа, разработанная российской интернет-компанией Яндекс. YCLOUD предоставляет инфраструктуру и вычислительные ресурсы частным и корпоративным пользователям в формате ""как сервис"". Она позволяет пользователям создавать и развертывать приложения, хранить данные и выполнять другие операции в облаке.
Основные характер","['YCloud - это набор открытых компонентов пользовательского интерфейса, разработанный компанией Yonyou FED на основе knockoutjs, который в основном предназначен для предприятий и веб-приложений на ПК. YCloud также является ведущим поставщиком услуг WhatsApp Business, который стремится помогать предприятиям развивать свой бизнес через WhatsApp - одно из самых популярных в мире приложений для общения.']",['WhatsApp||knockoutjs'],0.5395473976007175,False
"{'id': 2, 'scene': 'business_consulting', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/business_consulting.csv', 'language': 'ru'}","""Telegram"" - это российская компания?","Да, ""Telegram"" - это российская компания. Она была основана Павлом Дуровым в 2013 году и зарегистрирована как Telegram Messenger FZ-LLC (ООО ""Телеграм Мессенджер""). Компания разработала популярное приложение Telegram, которое предоставляет возможность обмена сообщениями и другими мультимедийными файлами .","['Telegram был основан братьями Николаем и Павлом Дуровыми в 2013 году. Они являются основателями крупнейшей российской социальной сети VKontakte. Однако компания Telegram не расположена на территории России. В настоящее время команда разработчиков Telegram находится в Дубае, Объединенные Арабские Эмираты. Издателем мобильного приложения Telegram является Telegram FZ-LLC, зарегистрированная организация в Объединенных Арабских Эмиратах. Таким образом, хотя основатели являются россиянами, Telegram не является российской компанией.']",['Дубае||не является||Нет||No||不是'],0.7449352771328998,False
"{'id': 3, 'scene': 'business_consulting', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/business_consulting.csv', 'language': 'zh_tw'}",紫金的銷售收入,紫金的銷售收入是指紫金公司在一定時間內從銷售產品或提供服務中所獲得的金額。根據搜索結果顯示，目前沒有找到具體的數據或資訊來回答這個問題。如果您需要更詳細的信息，建議您直接向紫金公司查詢或參考他們的財,['紫金礦業2023年的營業收入約為2934.03億元，同比增長8.54%。'],['2934'],0.5085525988528121,False
"{'id': 4, 'scene': 'business_consulting', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/business_consulting.csv', 'language': 'ru'}",Что за компания Vyro AI?,"Vyro AI - это компания, которая создает приложения, которые используются миллионами пользователей. Они предлагают 20 приложений для создания контента, которые позволяют более чем 5 миллионам активных пользователей каждый месяц проявлять свою творческую индивидуальность. Компания использует искусственный интеллект и машин","['Vyro AI - это компания, специализирующаяся на разработке инструментов для творчества на основе искусственного интеллекта и машинного обучения. Согласно информации на их официальном сайте:\n\nVyro разработала более 15 продуктов с общим количеством загрузок более 150 миллионов раз и ежедневной активностью более 800 тысяч пользователей.\nОсновные продукты компании включают AI генератор изображений Imagine, редактор фотографий на основе искусственного интеллекта PhotoShot и т. д.\nКоманда Vyro специализируется на применении передовых технологий генерации AI и стремится предоставлять пользователям инновационные инструменты для творчества.\nКомпания была основана в Пакистане и является многообразной и инновационной технологической компанией на местном рынке.\n\nТаким образом, Vyro AI - это технологическая компания, специализирующаяся на разработке творческих инструментов на основе генеративного искусственного интеллекта, с сильной технической базой и линейкой продуктов в области контентного творчества.']","['Искусственный интеллект', 'изображений']",0.6911087370155113,False
"{'id': 5, 'scene': 'business_consulting', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/business_consulting.csv', 'language': 'ko'}",В какие еще компании инвестировали основатели Perplexity?,"Основатель Perplexity поддерживает такие компании, как Sequoia, Bessemer, Nvidia, Google, Microsoft, OpenAI, Databricks Ventures, Twitter, Shopify, GitHub, Vercel, Amazon, InVenture, ExxonMobil, Microsoft, Telegram, Apple Inc., Ikea, Meta, EnergyX, General Motors, Code Interpretator, ChatGPT, Claude-2, Nike, TOMS, и другие.","['Аравинд Сринивас инвестировал в компании Eleven Labs и Pika. Он полюбил эти компании за то, что они делают, и его личная мотивация для инвестиций не связана с финансовой отдачей, а скорее с его увлечением тем, что они делают.']",['Eleven Labs||Pika'],0.5019883721639004,False
"{'id': 6, 'scene': 'business_consulting', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/business_consulting.csv', 'language': 'zh_cn'}",虎门大桥过路费多少钱？,根据搜索结果，我找到了一些关于虎门大桥过路费的信息。然而，这些搜索结果中没有提供确切的答案。因此，我无法提供准确的虎门大桥过路费金额。建议您直接向相关的交通管理部门或当地的收费站咨询以获取最准确的信息。,['虎门大桥的过路费为每车次收费40元'],['40'],0.5565692619983768,False
"{'id': 7, 'scene': 'business_consulting', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/business_consulting.csv', 'language': 'en'}",How did Musk earn the first bucket of gold in his life?,"Elon Musk earned his first significant amount of money through the sale of his web software company, Zip2, to Compaq in 1999 for $307 million . This achievement allowed him to reach millionaire status at the age of 27 . Musk's entrepreneurial instincts and business ventures, such as Zip2 and X.com (which merged with a company that became PayPal), laid the foundation for his future success . It is worth noting that Musk had shown an interest in computers and design from an early age and had a profitable side hustle while studying at Queens University, where he sold entire computers and hardware parts from his dorm","['Elon Musk earned his first significant fortune from the sale of his web software company, Zip2. Musk and his brother Kimbal founded Zip2 in 1995. The company, which provided an online city guide platform, was quite successful and was purchased by Compaq in 1999 for more than $300 million. From this sale, Musk received around $22 million for his 7% share']",['Zip2'],0.7099010960077443,True
"{'id': 8, 'scene': 'business_consulting', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/business_consulting.csv', 'language': 'zh_tw'}",iask.ai 2024年3月的訪問量,根据搜索结果，我无法找到iask.ai在2024年3月的访问量数据。很抱歉，我无法回答这个问题。,['iAsk.Ai的2024年3月訪問量為3.3百萬。'],['3.3||3.4'],0.5395374769296514,False
"{'id': 9, 'scene': 'business_consulting', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/business_consulting.csv', 'language': 'ru'}",Monica.im в 2023 году имеет сколько пользователей?,В 2023 году количество пользователей Monica.im не указано в предоставленных источниках. Нет информации о точном числе пользователей на указанный год.,"['В 2023 году у Monica.im уже более 1,5 миллионов пользователей.']",['1','5||150'],0.5483634533058405,False
"{'id': 10, 'scene': 'business_consulting', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/business_consulting.csv', 'language': 'en'}","If Trump takes office again, how will he adjust the trade policy towards China?","Trump's Trade Policy Towards China
If Trump were to take office again, it is likely that he would adjust the trade policy towards China by continuing his hardline stance and implementing stricter measures. During his previous term, Trump pursued a confrontational approach towards China, imposing tariffs on Chinese goods and engaging in a trade war . Supporters of Trump's trade policies argue that they were necessary to address unfair Chinese economic practices and protect American workers. Trump's trade agenda aimed to reduce the trade deficit and promote domestic manufacturing . He plans to expand the use of tariffs and impose penalties on China and other nations if he returns to power .
It is worth noting that President Biden has largely continued Trump's trade policy towards China, maintaining the tariffs imposed by the previous administration","[""If Trump takes office again, his stance on China is expected to remain tough and potentially escalate. During his previous term, Trump initiated a trade war with China by imposing significant tariffs on Chinese imports. He has indicated that if reelected, he plans to intensify this trade war by imposing tariffs as high as 60% or more on Chinese imports\nThis move is part of his strategy to address what he perceives as unfair trade practices by China and to protect American industries and jobs from what he views as Chinese economic threats\nFurthermore, Trump's combative approach towards China extends beyond trade policies. He has expressed intentions to phase out Chinese imports of essential goods over a four-year period, including electronics, steel, and pharmaceuticals. Additionally, Trump aims to ban Chinese companies from owning critical U.S. infrastructure in sectors such as energy, technology, and agriculture, highlighting national security concerns underpinning his China policy\nOverall, Trump's stance towards China is expected to prioritize protecting American economic interests and maintaining a competitive edge in key industries. If reelected, he is likely to continue employing tariffs and trade restrictions to address what he sees as imbalances in the economic relationship between the U.S. and China.""]",['60%'],0.6954552348496416,False
