metadata,question,answer,ground_truths,keywords,answer_correctness,passed
"{'id': 1, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",本来无一物何处惹尘埃的完整诗句是什么？,菩提本无树，明镜亦非台。本来无一物，何处惹尘埃。,"['这句诗句出自唐代禅宗六祖慧能的《菩提偈》。完整的诗句是:""菩提本无树，明镜亦非台。\n本来无一物，何处惹尘埃!""']","['菩提本无树', '明镜亦非台']",0.9583010427851398,True
"{'id': 2, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",福建晋江灵水中学一初中女生遭霸凌跳楼去世是什么时候？,"The incident where a middle school female student from Fujian Jinjiang Lingshui Middle School was bullied and jumped off a building occurred on
    
     March 24, 2024
    
    .
   


    These sources were crucial in providing detailed and accurate information regarding the tragic event at Fujian Jinjiang Lingshui Middle School.",['2024福建晋江灵水中学一初中女生遭霸凌跳楼去世的事件发生在2024年3月24日22时。'],['3月24日'],0.7421220279301355,False
"{'id': 3, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",那歌鱼是海鱼吗？,"Yes, the Na Ge fish is a type of sea fish.
    



    The sources provided detailed information about the Na Ge fish, its culinary significance in the Chaozhou region, and how it is commonly prepared and consumed by the locals.
   

    Please wait…",['是的，那歌鱼是海鱼。'],['是'],0.6669513685640316,False
"{'id': 4, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",四面楚歌的主人公是谁？,"四面楚歌的主人公是项羽
    


    故事背景
   

    四面楚歌的典故出自《史记·项羽本纪》，描述了楚汉战争中的垓下之战。在这场战斗中，项羽被刘邦等人围困于垓下，士兵听到四周响起楚地的歌声，导致士气低落，最终项羽寡不敌众，自刎于乌江边。
   

    项羽简介
   


     项羽
    
    （公元前232年~公元前202年）是中国军事思想代表人物之一，与孙武、韩信等齐名。他是楚国名将项燕之孙，在楚汉战争中扮演重要角色。
   

    故事梗概
   

    在垓下之战中，项羽被包围，听到四面传来楚歌声后感到惊讶。士兵们思念家乡，士气低落，导致最终突围失败，项羽自刎于乌江边。
   

    启示意义
   

    四面楚歌比喻陷入孤立无援、四面受敌的境地，警示人们在困境中保持冷静应对。",['四面楚歌的主人公是西楚霸王项羽。'],['项羽'],0.5998343165157715,False
"{'id': 5, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",跟领导吃饭座位安排图,"Here are the seating arrangement diagrams for dining with leaders:
    





       Meeting Head Table Seating Arrangement:
      



       For odd-numbered leaders, the main leader sits in the center, the 2nd leader on the left of the main leader, and the 3rd leader on the right of the main leader.
      

       For even-numbered leaders, both the 1st and 2nd leaders sit in the center, with the 2nd leader still to the left of the 1st leader and the 3rd leader to the right of the 1st leader.
      





       Banquet Seating Arrangement:
      




        Chinese Banquet:
       
       The host usually sits facing the door, with a deputy host sitting opposite. The 1st guest sits to the right of the host, and so on.
      


        Western Banquet:
       
       The seating arrangement varies based on table shape.
      





       Photo Session Positioning:
      



       The positioning during a photo session follows similar guidelines to meeting head table seating arrangements.
      





       Small Meeting/Sofa Room/Business Negotiation Seating Arrangement:
      



       Guidelines for discussions with foreign guests or superiors.
      





       Long Table Meeting/Business Negotiation Seating Arrangement:
      



       Different seating arrangements for long tables.
      





       Car Seat Arrangement:
      



       Guidelines for seating when traveling by car as a driver or passenger.
      





       Elevator Etiquette
      




    These diagrams provide visual guidance on how to arrange seating appropriately when dining with leaders in various settings.
   

    These sources were referenced to provide accurate information on dining etiquette and seating arrangements when dining with leaders in professional settings.",['中餐宴请座次安排\n主陪(通常是领导)坐在面对大门的位置\n副主陪(通常是主陪的助手)坐在主陪的对面\n1号客人坐在主陪的右手边\n2号客人坐在主陪的左手边\n3号客人坐在副主陪的右手边\n4号客人坐在副主陪的左手边\n其他客人可以随意安排'],['右'],0.59286752420798,False
"{'id': 6, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",风水轮流转同义词有哪些？,"风水轮流转同义词有哪些？
    



     风水轮流转
    
    的同义词包括：
   


     流年风水
    

     三十年河东三十年河西
    

     时来运转
    

     一朝天子一朝臣
    



    The sources used in providing the answer to the question about synonyms for “风水轮流转” were authoritative platforms like Baidu Zhidao, Wuli Life, and Xiaowei Love Tarot, which are well-known for providing reliable information on various topics.",['风水轮流转的同义词包括“否极泰来”、“物极必反”、“柳暗花明”、“绝处逢生”、“苦尽甘来”和“绝地反击”。其他类似的词还有“三十年河东三十年河西”、“风水轮流”和“十年河东十年河西”。'],['三十年河东||咸鱼翻身||苦尽甘来||时来运转||此一时彼一时||时来运转||枯木逢春'],0.6207933476531521,True
"{'id': 7, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",珠海华融时代广场多少米？,"华融时代广场高度为
    
     196米
    
    。
   


    The sources provided detailed information about the height of the Huarong Times Square in Zhuhai, including its history, development, and current status.",['珠海华融时代广场的建筑高度为196米。'],['196'],0.8138891849696281,True
"{'id': 8, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",相亲时媒婆说女方长得有福气，这是什么意思？,"In the context of a matchmaker or “媒婆” describing a woman as “长得有福气“ during a matchmaking process, it typically implies that the woman appears to have a prosperous and fortunate aura or appearance. This expression is often used to describe someone who looks content, happy, and blessed. The term “有福气“ in this context suggests that the person seems to exude an air of good fortune and happiness, which can be interpreted as having a positive and auspicious demeanor.
   

    When a matchmaker describes a woman as having “福气,” they are likely referring to her overall appearance being pleasant, possibly with features that convey prosperity and well-being. This description may include characteristics such as looking cheerful, content, and possibly having a rounder or fuller face, which is traditionally associated with good luck and abundance in Chinese culture.
   

    Therefore, when a matchmaker mentions that a woman is “长得有福气,” it generally indicates that she gives off an impression of being fortunate, happy, and possibly prosperous based on her appearance and demeanor.
   

    These sources were instrumental in providing an accurate understanding of the cultural connotations associated with describing someone as having “福气“ during matchmaking scenarios.",['相亲时媒婆说女方长得有福气，通常指女方看起来健康、体态丰满、体型偏胖。'],['胖||吃||丰满'],0.6130195295828959,False
"{'id': 9, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",为什么工地开工要祭拜？,"工地开工祭拜的原因：
    


    在建筑工地开工前进行祭拜仪式的主要原因是出于传统习俗和文化信仰。这种祭拜活动旨在向土地神明、鬼神和煞神告知即将在该土地上进行施工活动，以示尊重和求得保佑。以下是一些主要原因：
   




       尊重土地神明：
      
      祭拜仪式表达了对土地神明的尊重和敬畏之情。古代人们认为土地有灵性，是生命之源，因此在进行建筑活动时，需要得到土地神明的庇护和保佑。
     




       避免冒犯神灵：
      
      通过祭拜仪式，可以避免冒犯土地神明、鬼神和煞神，以免引起不祥之事或灾难发生。这种做法体现了对传统信仰的尊重和顺应。
     




       沟通与求得庇佑：
      
      祭拜活动也被视为一种沟通方式，通过烧香、上香等仪式与神明交流，并表达对施工过程的愿望和期待，希望能够获得平安顺利的施工过程和良好的结果。
     




       传承文化传统：
      
      进行开工祭拜是中国传统文化中的一部分，代代相传。这种习俗不仅体现了对历史文化的尊重，也让参与者感受到一种凝聚力和团结感。
     



    综上所述，工地开工进行祭拜仪式是基于对传统信仰、文化习俗以及对自然力量的敬畏而展开的一种行为。
   


    These sources were consulted to gather information on traditional customs and cultural beliefs related to construction site rituals and ceremonies in China, providing insights into the reasons behind performing such practices before commencing construction activities.",['工地开工要祭拜的原因主要是为了向土地神灵、过往鬼魂以及凶神恶煞告知即将在此地兴工建宅，避免冒犯这些神灵和鬼魂，同时请求他们的协助，希望工程能够顺利开展，并驱逐可能存在的煞气和秽气。此外，烧香祭拜是一种与神明连接的桥梁，通过这种方式表达对神明的敬意和祈求保佑'],['神||鬼'],0.8275420463610907,True
"{'id': 10, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",巴浪鱼是哪里的方言？,"巴浪鱼的方言来源是潮汕地区。
    


    Top 3 Authoritative Sources Used in Answering this Question:
   



      中国海洋渔业网
     



      中国水产科学研究院黄海水产研究所
     



      中国水产科学
     



    The term “巴浪鱼” originates from the Chao Shan region.
   

    Top 3 Authoritative Sources Used in Answering this Question:
   



      China Ocean Fisheries Website
     



      Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences
     



      Chinese Journal of Fisheries",['巴浪鱼是福建和潮汕地区的方言。'],['潮汕||福建||福州'],0.8153710854283447,True
