metadata,question,answer,ground_truths,keywords,answer_correctness,passed
"{'id': 1, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",本来无一物何处惹尘埃的完整诗句是什么？,"根据搜索结果,这句诗出自唐代禅宗六祖惠能的《菩提偈》:
""菩提本无树，明镜亦非台。
本来无一物，何处惹尘埃!""
这首诗的意思是:
原本就没有菩提树和明镜台这样的物体,因为本来就什么都没有,哪里会有什么尘埃呢?
这句话表达了佛教中""万法皆空""的思想,即世间万物都是空无一物的,没有固有实体。因此也不会有尘埃等杂染存在。这种超越物我的境界,就是佛教所追求的""见性成佛""的理想状态。123","['这句诗句出自唐代禅宗六祖慧能的《菩提偈》。完整的诗句是:""菩提本无树，明镜亦非台。\n本来无一物，何处惹尘埃!""']","['菩提本无树', '明镜亦非台']",0.7327260409304954,True
"{'id': 2, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",福建晋江灵水中学一初中女生遭霸凌跳楼去世是什么时候？,"根据搜索结果,福建晋江灵水中学一初中女生遭霸凌跳楼去世的事件发生于2024年3月24日。23
具体来说,事件发生在2024年3月24日晚上22时左右,该名初中女生李某凡从租住处8楼坠楼,经送医抢救无效死亡。3 次日,3月26日,晋江市教育局对此事进行了通报,并表示已会同公安等部门成立专门工作组,正在进行事件调查和善后处理。3",['2024福建晋江灵水中学一初中女生遭霸凌跳楼去世的事件发生在2024年3月24日22时。'],['3月24日'],0.8998591465636462,True
"{'id': 3, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",那歌鱼是海鱼吗？,"那哥鱼是海鱼。根据搜索结果:
那哥鱼是一种肉质极为鲜美的海鱼，学名为长尾多齿蛇鲻3。它是制作潮汕鱼丸的主要食材之一3。潮汕人非常喜欢吃这种鱼，认为它肉质鲜美3。虽然那哥鱼有一些鱼刺，但潮汕人还是很喜欢食用它3。
所以可以确定，那哥鱼是一种海鱼品种。它在潮汕地区很常见,价格也比较便宜,是当地人常用来制作鱼丸等美食的重要原料3。",['是的，那歌鱼是海鱼。'],['是'],0.6125773880877632,True
"{'id': 4, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",四面楚歌的主人公是谁？,"根据搜索结果,四面楚歌的主人公是项羽。12345
项羽是西楚霸王,秦朝末年起义军领袖和杰出军事家。在与刘邦的楚汉争霸战中,项羽的军队被刘邦围困在垓下。为了尽快打败项羽,刘邦派人在项羽的营帐外高唱楚歌,让项羽的士兵思念家乡,军心涣散。项羽听到楚歌后大吃一惊,内心变得绝望,加速了自己的溃败,最终导致了""霸王别姬""和""不渡乌江""等典故的出现。234
因此,四面楚歌这个典故的主人公就是项羽。这是一个反映了项羽在楚汉争霸中最后孤立无援、陷入绝境的著名历史故事。",['四面楚歌的主人公是西楚霸王项羽。'],['项羽'],0.6397460018269783,True
"{'id': 5, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",跟领导吃饭座位安排图,"根据提供的搜索结果,以下是关于与领导吃饭时的座位安排的总结:
宴席座次安排

一般遵循""右高左低""的原则,即以右边为尊,左边为卑。12
主人应坐在面对门的位置,主宾坐在主人右上方,主宾夫人坐在女主人右上方。12
其他客人依次按照职位或长幼排列,女士一般安排在一起。2
如果请的客人身份特别高,可以将主宾安排在主人的位置,而主人则坐在主宾的位置。2

会议主席台座次安排

如果领导人数为单数,主要领导居中,2号领导在1号领导左手,3号领导在1号领导右手。1
如果领导人数为偶数,1号和2号领导同时居中,2号领导在1号领导左手,3号领导在1号领导右手。1

乘车座次安排

一般遵循""右高左低,后高前低""的原则。34
如果是与亲朋好友共乘,副驾驶位置为上座位,表示尊重。3
如果是接送高级官员等公众人物,司机后方位置为上座,优先安排。3

总之,座位安排需要遵循一定的礼仪规范,既要体现主人的尊重,又要照顾到每位客人的地位和身份。1234",['中餐宴请座次安排\n主陪(通常是领导)坐在面对大门的位置\n副主陪(通常是主陪的助手)坐在主陪的对面\n1号客人坐在主陪的右手边\n2号客人坐在主陪的左手边\n3号客人坐在副主陪的右手边\n4号客人坐在副主陪的左手边\n其他客人可以随意安排'],['右'],0.6035083401749771,True
"{'id': 6, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",风水轮流转同义词有哪些？,"根据搜索结果,以下是一些与""风水轮流转""意思相近的成语:

否极泰来 - 指逆境过后会转为顺境。14
物极必反 - 指事物发展到极端就会发生逆转。4
柳暗花明 - 指阴暗之后会出现光明。4
绝处逢生 - 指绝境中会出现转机。4
苦尽甘来 - 指艰难之后会迎来好转。4
绝地反击 - 指绝境中会出现反击的机会。4
见风转舵 - 形容随时变化以适应环境。4
一些类似的成语如""看风转舵""等。4

这些成语都表达了事物的变化和转机出现的意思,与""风水轮流转""的概念相近。14",['风水轮流转的同义词包括“否极泰来”、“物极必反”、“柳暗花明”、“绝处逢生”、“苦尽甘来”和“绝地反击”。其他类似的词还有“三十年河东三十年河西”、“风水轮流”和“十年河东十年河西”。'],['三十年河东||咸鱼翻身||苦尽甘来||时来运转||此一时彼一时||时来运转||枯木逢春'],0.8478292068454811,True
"{'id': 7, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",珠海华融时代广场多少米？,"根据搜索结果:


珠海华融时代广场原计划建筑高度为196米，被称为""珠海第一高楼""。3


但由于多年来的停工和复工问题,该项目一直未能完工。3


最新的司法评估报告显示,该项目的主体结构已经完成,但内部装修和基础设施等都未完成。3


该项目已经连续两次在拍卖平台上流拍,目前项目的未来命运还存在很大不确定性。3


所以,根据现有信息,珠海华融时代广场的最终建成高度仍然是196米,但实际上该项目一直处于烂尾状态,尚未完工。",['珠海华融时代广场的建筑高度为196米。'],['196'],0.6692313997199797,True
"{'id': 8, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",相亲时媒婆说女方长得有福气，这是什么意思？,"根据搜索结果1和3中提到的相亲黑话,当媒婆说女方""有福气""时,其实是在暗示女方长得不太好看。
具体来说:
""有福气""在相亲黑话中的意思是""胖""。3中提到,相亲黑话中""有福气""的意思就是""胖""。
所以当媒婆说女方""有福气""时,实际上是在委婉地表达女方长相不太出众的意思。这是媒婆在相亲时常用的一种隐喻性的表达方式。1
总之,媒婆说女方""有福气"",并不是在赞美她,而是在暗示她的长相不太理想。这是相亲场合中常见的一种隐藏真意的说法。13",['相亲时媒婆说女方长得有福气，通常指女方看起来健康、体态丰满、体型偏胖。'],['胖||吃||丰满'],0.6393139130681571,True
"{'id': 9, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",为什么工地开工要祭拜？,"根据搜索结果,工地开工要进行祭拜仪式主要有以下几个原因:


传统信仰和习俗1234。在中国传统文化中,人们相信土地神或地基主会保佑工程顺利,因此在开工前要进行祭拜仪式,以求得神明的庇护和祝福。这是一种传统的信仰和习俗,延续了很长时间。


心理安慰和需求2。这种祭拜仪式能给工人们一种心理上的安慰和保护感,满足他们对神明庇护的需求。即使是接受过现代教育的人,也会在工地环境中产生一种敬畏之心。


祈求工程顺利13。通过祭拜仪式,工人们希望能得到神明的保佑,使整个施工过程平安顺利,大吉大利。这是工地开工祭拜的主要目的。


总之,工地开工祭拜是中国传统文化中的一种习俗和信仰,既有宗教和心理层面的需求,也希望能给工程带来吉祥和顺利1234。",['工地开工要祭拜的原因主要是为了向土地神灵、过往鬼魂以及凶神恶煞告知即将在此地兴工建宅，避免冒犯这些神灵和鬼魂，同时请求他们的协助，希望工程能够顺利开展，并驱逐可能存在的煞气和秽气。此外，烧香祭拜是一种与神明连接的桥梁，通过这种方式表达对神明的敬意和祈求保佑'],['神||鬼'],0.6851859836274641,True
"{'id': 10, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",巴浪鱼是哪里的方言？,"根据搜索结果1和3，""巴浪鱼""是潮汕方言中的一种鱼类名称。
具体来说:


""巴浪鱼""是潮汕大排档经营的一种常见鱼饭类菜品13。


潮汕人的饮食习俗中，""巴浪鱼、大眼鸡和红鹦哥鱼""等鱼类都属于""鱼饭""类134。


这些鱼类名称源自潮汕方言，反映了潮汕地区独特的饮食文化13。


因此可以得出结论，""巴浪鱼""是潮汕方言中的一种鱼类名称。13",['巴浪鱼是福建和潮汕地区的方言。'],['潮汕||福建||福州'],0.6721678228506124,True
