metadata,question,answer,ground_truths,keywords,passed
{},本来无一物何处惹尘埃的完整诗句是什么？,"菩提本无树，明镜亦非台。本来无一物，何处惹尘埃。12
诗句解析
这是出自唐代六祖慧能的《菩提偈》中的名句。全诗共有四句:
菩提本无树,明镜亦非台。
佛性常清净,何处有尘埃。
身是菩提树,心如明镜台。
明镜本清净,何处染尘埃。
第三句""本来无一物,何处惹尘埃""的意思是:本来就没有任何实体存在,哪里会有尘埃沾染呢?它揭示了一切万物皆由因缘和合而生,本身是虚无缥缈的。12
这首偈颂阐述了禅宗""顿悟""的思想,即人人本自具足佛性,只要顿时觉悟便可成佛,不需循序渐进地修行。它否定了神秀""渐修""的观点,在佛教思想史上具有重要地位。2","['这句诗句出自唐代禅宗六祖慧能的《菩提偈》。完整的诗句是:""菩提本无树，明镜亦非台。\n本来无一物，何处惹尘埃!""']","['菩提本无树', '明镜亦非台']",True
{},福建晋江灵水中学一初中女生遭霸凌跳楼去世是什么时候？,"根据搜索结果235的报道,福建晋江灵水中学一名初一女生于2024年3月24日晚上9时24分从租住公寓8楼跳楼身亡。她的母亲陈女士表示,女儿当晚留下一段遗言后就再也没有回复。23
事发前,该女生长期遭受同学的霸凌和勒索钱财。23她在遗言中写道""妈妈,我的生命要终止了,我没有办法在灵水待下去......"",并表示每天去学校都要见到霸凌她的人感到很不舒服。2
这一事件引发了社会公愤和抗议。福建省教育厅随后下令对全省中小学展开一次""起底式""大排查,防范和遏制学生欺凌事件。3",['2024福建晋江灵水中学一初中女生遭霸凌跳楼去世的事件发生在2024年3月24日22时。'],['3月24日'],True
{},那歌鱼是海鱼吗？,"根据搜索结果2中的介绍,那哥鱼是一种海鱼,学名为长尾多齿蛇鲻。它是一种肉质鲜美的海鱼,常见于潮汕地区,是制作潮汕手工鱼丸的主要食材之一。2因此,那哥鱼确实是一种海鱼。",['是的，那歌鱼是海鱼。'],['是'],True
{},四面楚歌的主人公是谁？,"四面楚歌的主人公是项羽。12
故事梗概
公元前202年,项羽率领西楚军被刘邦的汉军包围在垓下。为了打击项羽军心理,刘邦命人在项羽营帐外高唱楚歌。项羽听到家乡楚歌,误以为楚人已尽数投靠刘邦,内心绝望,加速了自己的溃败。2
项羽听到四面都是楚歌,惊叹""是何楚人之多也"",夜起饮酒作诗,流露出孤立无援的绝望心境,这就是""四面楚歌""典故的来源。13
总之,四面楚歌描写的就是项羽在垓下被汉军重重包围,处于孤立无援的危机之中。123",['四面楚歌的主人公是西楚霸王项羽。'],['项羽'],True
{},跟领导吃饭座位安排图,"跟领导吃饭时座位安排有一些基本规矩:
会议主席台座次
领导为单数时,主要领导居中,2号领导在1号领导左手位置,3号领导在1号领导右手位置。12
领导为偶数时,1、2号领导同时居中,2号领导依然在1号领导左手位置,3号领导依然在1号领导右手位置。12
宴席座次安排
中餐
主陪在面对房门的位置,副主陪在主陪对面,1号客人在主陪右手,2号客人在主陪左手,3号客人在副主陪右手,4号客人在副主陪左手。12
西餐
座次安排与中餐有所不同。12
合影时位置
合影时位置安排与会议主席台座位安排一致。12
车内座位
小轿车中,1号座位在司机右后,2号座位在正后,3号座位在司机旁边。12
如果主人驾车,以驾驶座右侧为首位,后排右侧次之,左侧再次之,后排中间为末席。12
总的来说,领导座位安排需按级别和身份地位,座次越靠近主位越尊贵。具体安排时需结合场合作出调整。12",['中餐宴请座次安排\n主陪(通常是领导)坐在面对大门的位置\n副主陪(通常是主陪的助手)坐在主陪的对面\n1号客人坐在主陪的右手边\n2号客人坐在主陪的左手边\n3号客人坐在副主陪的右手边\n4号客人坐在副主陪的左手边\n其他客人可以随意安排'],['右'],True
{},风水轮流转同义词有哪些？,"""风水轮流转""的同义词有以下几种:


三十年河东,三十年河西1。这句俗语形象地描述了命运的循环变迁,好运和坏运总是轮流到来。


今年到我家,明年到你家2。意思是说,今年风水到我家,明年风水就会到你家,形容运气的周期性转移。


人有三衰六旺4。指人一生中会有三次衰运和六次旺运的时期,运气会不断循环变化。


同人不同命,同遮不同柄4。意思是说,即使是同一个人,命运也会随着时间和环境的变化而有所不同,体现了命运的多变性。


总的来说,这些同义词都在强调命运和运气的循环变迁,没有永远的顺境或逆境,好运和坏运会轮流到来。它们形象生动地描绘了人生际遇的无常性和周期性变化规律。",['风水轮流转的同义词包括“否极泰来”、“物极必反”、“柳暗花明”、“绝处逢生”、“苦尽甘来”和“绝地反击”。其他类似的词还有“三十年河东三十年河西”、“风水轮流”和“十年河东十年河西”。'],['三十年河东||咸鱼翻身||苦尽甘来||时来运转||此一时彼一时||时来运转||枯木逢春'],True
{},珠海华融时代广场多少米？,"根据搜索结果:
珠海华融时代广场原计划建筑高度为196米13，曾被称为""珠海第一高楼""。该项目位于拱北迎宾路与粤海路交汇处,距离拱北口岸仅600米,地理位置优越3。
然而,该项目自1991年开工后一直陷入停工、复工的困境,至今仍未完工。2024年2月,华融时代广场在阿里法拍平台进行第二次拍卖,起拍价8.49亿元,但因无人出价而流拍3。目前主体封顶已完成,但内部装修和基础设施未完工,部分结构构件也出现了耐久性损伤3。
因此,尽管华融时代广场原计划高度为196米,但由于多年烂尾,其最终建筑高度仍存在不确定性。珠海真正的第一高楼应为珠海中心大厦,高度330米1。",['珠海华融时代广场的建筑高度为196米。'],['196'],True
{},相亲时媒婆说女方长得有福气，这是什么意思？,"当媒婆在相亲时说女方""长得有福气""时,通常是在赞美女方的相貌和气质,暗示她是一位幸运、吉祥的人选。这种说法有以下几层含义:


外表漂亮吸引人1。媒婆认为女方长相出众、容貌姣好,这是一种福气。


气质温婉大方1。除了相貌,媒婆也在赞赏女方的气质文雅、举止得体,这种气质也被视为一种福气。


祝福她能找到好的归宿1。媒婆用""有福气""一语,也在祝福女方能在相亲中遇到良缘,找到合适的对象,步入红尘。


吸引人家青睐2。媒婆这么说,可能也暗示女方长相出众,容易受到异性的青睐和追求,从而增加相亲成功的机会。


总的来说,""长得有福气""是媒婆对女方外表和气质的一种赞美和祝福,希望她能在相亲中遇到好的缘分和归宿12。",['相亲时媒婆说女方长得有福气，通常指女方看起来健康、体态丰满、体型偏胖。'],['胖||吃||丰满'],False
{},为什么工地开工要祭拜？,"根据搜索结果,工地开工时要进行祭拜仪式主要有以下几个原因:


祈求施工顺利123
在动工前进行拜拜仪式,主要是祈求施工过程能够顺利进行,避免意外发生。这是最主要的目的。


祈求入住后平安2
除了祈求施工顺利,拜拜仪式也是希望屋主在完工后能够平安入住,运势越来越好。


遵循传统习俗34
这种开工前的祭拜仪式是中国传统的习俗,很多工地都会遵循这种做法。即使是接受了现代教育的人,也会保留这种敬畏之心。


心理安慰3
这种仪式也能给人一种心理上的安慰和慰藉,是一种不可或缺的需要。


总之,工地开工前进行祭拜仪式主要是为了祈求施工顺利、入住平安,同时也是遵循传统习俗,满足人们的心理需求。1234",['工地开工要祭拜的原因主要是为了向土地神灵、过往鬼魂以及凶神恶煞告知即将在此地兴工建宅，避免冒犯这些神灵和鬼魂，同时请求他们的协助，希望工程能够顺利开展，并驱逐可能存在的煞气和秽气。此外，烧香祭拜是一种与神明连接的桥梁，通过这种方式表达对神明的敬意和祈求保佑'],['神||鬼'],False
{},巴浪鱼是哪里的方言？,"根据搜索结果:
巴浪鱼是福建与广东潮汕人的称呼1。它的学名叫蓝圆鲹,是一种近海暖水性中上层鱼类,广泛分布于我国南海、东海和黄海1。
在其他地区,巴浪鱼也有被称为棍子鱼、滚子鱼、黄占、池鱼等名字1。
但是,广西人和说广东话的广东人都不吃巴浪鱼,他们觉得这种鱼""湿热""1。只有福建人、广东潮汕人和海南人才会食用巴浪鱼1。
因此,可以得出结论,巴浪鱼是福建和广东潮汕地区的方言称呼。",['巴浪鱼是福建和潮汕地区的方言。'],['潮汕||福建||福州'],True
