metadata,question,answer,ground_truths,keywords,passed
{},本来无一物何处惹尘埃的完整诗句是什么？,"搜索结果：

本来无一物何处惹尘埃 - 百度百科
本来无一物何处惹尘埃 - 知乎
本来无一物何处惹尘埃 - 豆瓣读书
本来无一物何处惹尘埃 - 网易云音乐

根据搜索结果，我们可以看到这句诗句出现在多个网站上，包括百度百科、知","['这句诗句出自唐代禅宗六祖慧能的《菩提偈》。完整的诗句是:""菩提本无树，明镜亦非台。\n本来无一物，何处惹尘埃!""']","['菩提本无树', '明镜亦非台']",False
{},福建晋江灵水中学一初中女生遭霸凌跳楼去世是什么时候？,根据搜索结果，福建晋江灵水中学一初中女生遭霸凌跳楼去世的具体时间是2022年11月。,['2024福建晋江灵水中学一初中女生遭霸凌跳楼去世的事件发生在2024年3月24日22时。'],['3月24日'],False
{},那歌鱼是海鱼吗？,是的，歌鱼是海鱼。歌鱼是一种生活在海洋中的鱼类，主要分布在温暖的海域，例如热带和亚热带地区。它们通常被认为是美味的食物，并且在许多地方被作为食材使用。歌鱼的身体呈流线型，游泳,['是的，那歌鱼是海鱼。'],['是'],True
{},四面楚歌的主人公是谁？,"四面楚歌的主人公是谁？
根据提供的搜索结果，没有找到与问题相关的信息。很抱歉，我无法回答这个问题。如果您有其他问题，我将很乐意帮助您。",['四面楚歌的主人公是西楚霸王项羽。'],['项羽'],False
{},跟领导吃饭座位安排图,根据搜索结果，我找到了一些关于跟领导吃饭座位安排图的信息。然而，这些搜索结果中没有提供具体的座位安排图。如果您需要座位安排图，我建议您联系相关的会议组织者或餐厅，以获取准确的座位安排信息。希望这可以帮到您！,['中餐宴请座次安排\n主陪(通常是领导)坐在面对大门的位置\n副主陪(通常是主陪的助手)坐在主陪的对面\n1号客人坐在主陪的右手边\n2号客人坐在主陪的左手边\n3号客人坐在副主陪的右手边\n4号客人坐在副主陪的左手边\n其他客人可以随意安排'],['右'],False
{},风水轮流转同义词有哪些？,"风水轮流转同义词有哪些？
风水轮流转是一个成语，意思是事物的好坏、优劣、胜败等情况会不断变化，没有永远不变的事情。以下是一些与风水轮流转意思相近的同义词：

时来运转
命运多舛
轮回转世
阴阳转换
高低起伏
成败兴废
7
",['风水轮流转的同义词包括“否极泰来”、“物极必反”、“柳暗花明”、“绝处逢生”、“苦尽甘来”和“绝地反击”。其他类似的词还有“三十年河东三十年河西”、“风水轮流”和“十年河东十年河西”。'],['三十年河东||咸鱼翻身||苦尽甘来||时来运转||此一时彼一时||时来运转||枯木逢春'],True
{},珠海华融时代广场多少米？,根据提供的搜索结果，我无法找到关于珠海华融时代广场距离的确切信息。很抱歉，我无法回答这个问题。如果您有其他问题，我会尽力帮助您。,['珠海华融时代广场的建筑高度为196米。'],['196'],False
{},相亲时媒婆说女方长得有福气，这是什么意思？,"媒婆说女方长得有福气，这是什么意思？
""女方长得有福气""这句话的意思是女方的相貌给人一种幸福、吉祥的感觉。这可能是媒婆在形容女方长相好，给人带来好运和幸福的印象。这种说法常用于相亲场合，表示女方的外貌给人留下了积极的",['相亲时媒婆说女方长得有福气，通常指女方看起来健康、体态丰满、体型偏胖。'],['胖||吃||丰满'],False
{},为什么工地开工要祭拜？,"为什么工地开工要祭拜？
在中国的传统文化中，祭拜是一种重要的仪式活动，被广泛应用于各个方面，包括工地开工。工地开工祭拜是为了祈求工程的顺利进行和安全。以下是一些可能的原因：

祈求工程的顺利进行：祭拜仪式可以被视为一种信
",['工地开工要祭拜的原因主要是为了向土地神灵、过往鬼魂以及凶神恶煞告知即将在此地兴工建宅，避免冒犯这些神灵和鬼魂，同时请求他们的协助，希望工程能够顺利开展，并驱逐可能存在的煞气和秽气。此外，烧香祭拜是一种与神明连接的桥梁，通过这种方式表达对神明的敬意和祈求保佑'],['神||鬼'],False
{},巴浪鱼是哪里的方言？,"巴浪鱼是哪里的方言？
根据搜索结果，巴浪鱼并不是方言，而是一种鱼类的名称。巴浪鱼是指一种生活在淡水中的鱼类，主要分布在亚洲地区的一些国家和地区，如中国、越南、泰国等。它在不同地区可能有不同的名称，但并不是某个地",['巴浪鱼是福建和潮汕地区的方言。'],['潮汕||福建||福州'],False
