metadata,question,answer,ground_truths,keywords,answer_correctness,passed
"{'id': 1, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/products_search.csv', 'language': 'zh_cn'}",UN100D搭载什么处理器？,"铭凡UN100D搭载的处理器是英特尔 N100。
    


    Top 3 Authoritative Sources Used in Answering this Question:
   



      IT之家
     



      Minisforum官方网站
     



      yochee教授
     



    The information regarding the processor in the Minisforum UN100D was sourced from IT之家, which provided details about the specifications of the mini PC. Additionally, details about the Minisforum UN100D and its processor were also obtained from the official Minisforum website. Furthermore, insights on various mini PCs and processors were gathered from a review by yochee教授, offering comparisons and recommendations for different models in the market.",['UN100D搭载的是英特尔 N100 处理器\n. 该处理器拥有4核4线程，采用Intel 7工艺制造，TDP为6W，最高睿频为3.4 GHz\n. 由于采用低功耗处理器，适合基本办公任务，但不适合高端游戏。'],['N100'],0.6433730573023726,True
"{'id': 2, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/products_search.csv', 'language': 'zh_cn'}",海狮07 EV两驱版最高车速是多少？,"The maximum speed of the two-wheel-drive (2WD) version of the Hai Shi 07 EV is 210 km/h.
    


    The information provided by these sources helped in determining the maximum speed of the Hai Shi 07 EV two-wheel-drive version.",['海狮07 EV两驱版的最高车速为225km/h'],['225'],0.5222298536334418,False
"{'id': 3, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/products_search.csv', 'language': 'zh_cn'}",大疆发布 Avata 2 无人机的电池容量是多少mAh？,The battery capacity of the DJI Avata 2 drone is 2150 mAh.,['大疆发布的Avata 2无人机的电池容量为3400毫安时（mAh）'],['3400'],0.518660923541273,False
"{'id': 4, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/products_search.csv', 'language': 'zh_cn'}",Galaxy S24屏幕分辩率是多少？,"The screen resolution of the Galaxy S24 is 2340 x 1080 pixels.
    


    The sources provided detailed information about the specifications and features of the Samsung Galaxy S24, including its screen resolution.",['Galaxy S24基本款的屏幕分辨率为2340 x 1080像素'],"['2340', '1080']",0.8051792852229496,True
"{'id': 5, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/products_search.csv', 'language': 'zh_cn'}",ThinkPad L13 Gen3有多少个Type-C接口？,"The ThinkPad L13 Gen3 has
    
     two
    
    USB Type-C interfaces.
   



    The information regarding the number of Type-C interfaces on the ThinkPad L13 Gen3 was sourced from the user manual of the device, which is an authoritative and reliable document provided by the manufacturer, Lenovo. Additionally, laptopmedia.com, a reputable tech review website, also confirmed this detail in their comprehensive review of the ThinkPad L13 Gen3. The Lenovo official website was consulted to cross-reference and verify the specifications of the laptop model.",['ThinkPad L13 Gen3有两个Type-C接口。其中，一个是USB 3.2 Gen 2 Type-C端口，另一个是USB 3.2 Gen 1 Type-C端口。'],['Gen2||Gen 2'],0.6623975094569171,False
"{'id': 6, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/products_search.csv', 'language': 'zh_cn'}",「IKU×MIRU」ご利用方法？,"IKU×MIRU
    
    is an online experience tour service offered by HIS, where users can enjoy unlimited access to various online tours. To use
    
     IKU×MIRU
    
    , follow these steps:
   



      Sign Up for a Plan
     
     : Choose from the three available plans - Monthly Plan, 3-Month Plan, or Yearly Plan.
    


      Receive Coupon Code
     
     : Once you sign up for a qualifying overseas tour with HIS, you will receive a coupon code for
     
      IKU×MIRU
     
     .
    


      Redeem Coupon
     
     : Use the coupon code on the registration page to apply for
     
      IKU×MIRU
     
     .
    


      Select and Reserve Tours
     
     : Log in to your account and book the tours you want to participate in.
    


      Enjoy Online Experiences
     
     : After booking, you will receive instructions on how to join the online tours.
    


    Remember that there is a 14-day free trial period available for all plans, and after the trial ends, regular charges will apply based on your chosen plan.
   


    These sources provide detailed information about the services offered by HIS, including how to use
    
     IKU×MIRU
    
    , pricing plans, and user experiences with the online tours.",['契約後、My HISモバイルにログインし、「特典一覧・お申込みはこちらをご確認ください。」のリンクをクリックして、「特典一覧」を確認します。\n「特典一覧」内には、IKU×MIRUのクーポンコードが掲載されています。このコードをコピーしておきます。\nIKU×MIRUを利用するためには、特典一覧に掲載されている登録ページでクーポンを使って月間プランを申し込みます。\n月間プランを申し込んだ後、IKU×MIRU登録のメールアドレスで見放題対象コースを予約します。\n予約が完了すると、参加方法についてのメールが送られてきます。\n注意点として、クーポンコードは特典一覧に掲載されているIKU×MIRUの登録ページでのみ使用可能です。一般のHIS WEBサイトでは使用できません。また、IKU×MIRUの見放題サービスは自動継続されるため、無料期間終了後に料金が発生します。解約を希望する場合は、お申し込み日から30日目の22:59までに解約することで料金が発生しないことにご注意ください。'],"['特典一覧', 'クーポン']",0.6862120264568646,False
"{'id': 7, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/products_search.csv', 'language': 'zh_cn'}",His Mobileの440パッケージの5GBのデータはいくらですか？,"The 5GB data package in HIS Mobile’s 440 plan costs 990 yen per month.
    


    To determine the cost of the 5GB data package in HIS Mobile’s 440 plan, we refer to the pricing information provided for different data tiers within the plan. The details indicate that for a 7GB data package, the monthly cost is 990 yen. Given this pricing structure, we can infer that a 5GB data package would fall below the 7GB tier and hence be priced at the same rate of
    
     990 yen per month
    
    .",['HISモバイルのデータ定額440プランの5GBのデータは、月額料金で880円（税込）です。このプランでは、毎月5GBのデータ通信を利用することができます。料金は定額で一定なので、安心してご利用いただけます。'],['880'],0.5531705157348865,False
"{'id': 8, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/products_search.csv', 'language': 'zh_cn'}",HISモバイルのデータ定額440プラン（月額880円）に含まれる月間データ量は？,"The
    
     HISモバイルのデータ定額440プラン（月額880円）
    
    includes
    
     7GB
    
    of monthly data usage.
   

    Top 3 Authoritative Sources Used in Answering this Question:
   



      HISモバイル Official Website
     



      総務省 (Ministry of Internal Affairs and Communications)
     



      価格.com (Kakaku.com)
     



    The information was gathered from these sources to provide accurate details regarding the HISモバイルのデータ定額440プラン.",['HISモバイルのデータ定額440プランで月額880円の場合、含まれる月間データ量は7GBです。'],['7||5'],0.6965975432745588,True
"{'id': 9, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/products_search.csv', 'language': 'zh_cn'}",华为ADS 2.0 先进在哪里？,"华为ADS 2.0的先进之处：
    



     1. 多传感器融合感知技术：
    
    华为ADS 2.0采用多传感器融合技术，包括激光雷达、毫米波雷达、高清摄像头和超声波雷达等多种传感器。这种综合感知系统使车辆能够全天候、全方位地感知周围环境，不受恶劣天气和光线影响，提高了对障碍物的识别准确性和范围。
   


     2. 先进算法和网络：
    
    华为ADS 2.0结合了BEV感知网络和GOD网络。BEV感知网络提供了高度智能的环境感知能力，而GOD网络则是业界首创的通用障碍物检测网络，可以识别各种异形障碍物。这种先进的算法和网络结构使系统能够更好地理解道路情况，并及时采取相应控制动作。
   


     3. 不依赖高精地图：
    
    华为ADS 2.0在设计上摆脱了对高精地图的依赖，通过拓扑推理网络和先进算法实现了不依赖高精地图的智能驾驶功能。这意味着系统可以在更广泛的城市范围内实现智能驾驶，提供更灵活、自然的驾驶体验。
   


    These sources provided detailed and factual information about the features and capabilities of the Huawei ADS 2.0 advanced driving system, including its sensor fusion technology, advanced algorithms, and independence from high-definition maps.",['ADS 2.0系统的先进之处主要体现在以下几个方面：\n创新性的激光融合GOD网络：ADS 2.0搭载了业界首创的激光融合GOD网络，能够精准识别异形障碍物，如侧翻车辆、掉落的大纸箱、落石、倒地大树等，提高了驾驶的安全性。\n多传感融合：通过激光雷达、毫米波雷达、摄像头等多传感融合的感知，即使在没有高精地图的情况下，也能对道路元素进行识别和理解，提高了驾驶的准确性和可靠性。\n覆盖广泛的城区高阶智能驾驶场景：ADS 2.0系统可以覆盖90%城区场景，让日常通勤更加舒心。在复杂的交通路口、人车混行的场景中，系统能够顺利通行，主动超车换道、脱困换道，大大提升了出行效率。'],"['GOD', '不依赖高精地图||没有高精地图']",0.6693562034696184,True
"{'id': 10, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/products_search.csv', 'language': 'zh_cn'}",马自达J90A是新能源车吗？,"Yes, the Mazda J90A is a new energy vehicle (NEV) or a new energy car, as it is based on the Changan EPA hybrid platform and will have both pure electric and range-extender powertrain options.
    


    Top 3 Authoritative Sources Used in Answering this Question:
   



      汽车之家
     



      文武车道
     



      大飙车商城
     



    The sources provided detailed information about the Mazda J90A, its development, features, and positioning in the market as a new energy vehicle.",['是的，马自达J90A是一款新能源车'],['是'],0.6826898821580474,False
