metadata,question,answer,ground_truths,keywords,answer_correctness,passed
"{'id': 1, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",本来无一物何处惹尘埃的完整诗句是什么？,"本来无一物何处惹尘埃的完整诗句是：“菩提本无树，明镜亦非台。本来无一物，何处惹尘埃。”这句诗出自唐代惠能的《菩提偈》。
","['这句诗句出自唐代禅宗六祖慧能的《菩提偈》。完整的诗句是:""菩提本无树，明镜亦非台。\n本来无一物，何处惹尘埃!""']","['菩提本无树', '明镜亦非台']",0.7692233559488957,True
"{'id': 2, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",福建晋江灵水中学一初中女生遭霸凌跳楼去世是什么时候？,"福建晋江灵水中学一初中女生遭霸凌跳楼去世的事件发生在2024年3月24日晚上。根据多份报道，这名女生在租住的公寓中跳楼自杀，疑似因为遭受校园霸凌所致。晋江市教育局在2024年3月26日发布情况通报，确认了这一事件，并表示已会同公安等部门成立专门工作组进行调查。此外，有报道称该女生在去世前给家人留下了遗书，表达了对霸凌的不满和对家人的爱。此事件引起了社会的广泛关注和讨论，关于校园霸凌的问题再次被推到了公众视野中。
",['2024福建晋江灵水中学一初中女生遭霸凌跳楼去世的事件发生在2024年3月24日22时。'],['March 24||2024/3/24||2024年3月24'],0.7938657576069661,True
"{'id': 3, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",那歌鱼是海鱼吗？,"那哥鱼是否为海鱼取决于其所在地区的具体环境和条件。在某些地区，它被视为淡水鱼，而在其他地区则被认为是海鱼。因此，不能一概而论地将那哥鱼定义为海鱼或淡水鱼，需要根据具体的地理位置、气候和环境来确定。
",['是的，那歌鱼是海鱼。'],['是||Yes'],0.5206598155348388,True
"{'id': 4, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",四面楚歌的主人公是谁？,"四面楚歌的主人公是项羽。这个成语出自《史记·项羽本纪》，描述的是项羽在垓下之战中被汉军及诸侯兵围困，夜闻汉军四面皆唱楚歌，从而大惊失色的情景。其他资料也一致指出，四面楚歌的故事主要围绕项羽展开，他因听到四周唱起楚歌而感到吃惊，最终导致失败自杀。因此，可以明确地回答，四面楚歌的主人公是项羽。
",['四面楚歌的主人公是西楚霸王项羽。'],['项羽'],0.6390211089407456,True
"{'id': 5, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",跟领导吃饭座位安排图,"在组织与领导共进晚餐的场合中，座位安排是一个需要细致考虑的问题。我们可以总结出一些基本原则和注意事项。


主人座位：通常情况下，主人应该坐在桌子的主位上，这个位置通常是桌子的正中央或面对大门的位置。这是因为在许多文化中，面向入口的一方被视为尊贵的位置。


领导座位：与门相对的座位是首席，应由职位最高的领导就坐。首席旁边依次为二座三座座位，首席对面是辈分最低的座位。这表明在安排领导座位时，应优先考虑其职位高低和与主人的关系。


客人座位：主人右手边通常都是领导级别的人物了。这意味着在安排座位时，应将地位较高的领导安排在主人的右侧。


座次顺序：按照中国习俗，“面朝大门为尊”，所以通常与门相对的座位是首席。这一点在多个证据中得到了重复强调，表明这是一个普遍接受的原则。


特殊情况下的座位安排：如果有转盘，应该以顺时针方向转动转盘，即大家应将转盘向自己的左手方向转。这说明在有特殊设备（如转盘）的情况下，也需要遵循一定的礼仪规则。


地区差异：全国各地的座次布局各有不同，比如北京民间座次与商务公务宴请座次完全不一样。这意味着在具体操作时，还需要考虑到当地的习俗和习惯。


与领导吃饭的座位安排应遵循以下原则：主人位于桌子的正中央或面对大门的位置；首席（最高职位的领导）位于与门相对的位置；地位较高的领导安排在主人的右侧；并且要注意到地区差异可能对座位安排产生的影响。这些原则和注意事项可以帮助确保饭局的顺利进行，同时也体现了对领导的尊重和礼貌。
",['中餐宴请座次安排\n主陪(通常是领导)坐在面对大门的位置\n副主陪(通常是主陪的助手)坐在主陪的对面\n1号客人坐在主陪的右手边\n2号客人坐在主陪的左手边\n3号客人坐在副主陪的右手边\n4号客人坐在副主陪的左手边\n其他客人可以随意安排'],['右||right-hand'],0.6673715740958863,True
"{'id': 6, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",风水轮流转同义词有哪些？,"风水轮流转的同义词包括“三十年河东三十年河西”、“风水轮流”和“十年河东十年河西”。此外，还有成语“沧海桑田”也被认为与风水轮流转意思相近。这些表达都传达了世事无常、运气或命运变化无常的意思。
",['风水轮流转的同义词包括“否极泰来”、“物极必反”、“柳暗花明”、“绝处逢生”、“苦尽甘来”和“绝地反击”。其他类似的词还有“三十年河东三十年河西”、“风水轮流”和“十年河东十年河西”。'],['三十年河东||咸鱼翻身||苦尽甘来||时来运转||此一时彼一时||时来运转||枯木逢春'],0.6821935188802257,True
"{'id': 7, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",珠海华融时代广场多少米？,"珠海华融时代广场的总高度为196.00米。
",['珠海华融时代广场的建筑高度为196米。'],['196'],0.8905117926698769,True
"{'id': 8, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",相亲时媒婆说女方长得有福气，这是什么意思？,"在相亲的语境中，媒婆说女方长得有福气，通常是指女方的外貌特征给人以一种吉祥、健康、富足的印象。在中国传统文化中，“福”字不仅代表了幸福和好运，还与衣食无忧、长寿、平安等概念紧密相关。因此，当媒婆用“有福气”来形容一个人时，往往是在暗示这个人具有这些传统意义上的吉祥特质。
具体到相亲的场景中，这种描述可能涉及到对方的体型、面色等方面。例如，如果一个人看起来健康、白胖，可能会被认为是有福气的表现。这是因为在中国文化中，体态丰满有时被视为健康和富足的象征。此外，这种描述也可能是一种吉祥话，用于增添婚礼的喜庆氛围。
然而，需要注意的是，媒婆的话有时也需要谨慎对待。因为媒婆可能会使用一些夸张或夸大的语言来吸引人们的注意，有时候这些描述并不完全准确。因此，虽然“有福气”的描述听起来是积极的，但在考虑是否进一步发展关系时，还需要结合其他方面的了解和判断。
",['相亲时媒婆说女方长得有福气，通常指女方看起来健康、体态丰满、体型偏胖。'],['胖||吃||丰满'],0.6930029364026731,True
"{'id': 9, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",为什么工地开工要祭拜？,"工地开工要祭拜的原因主要有以下几点：


避免冒犯神灵和鬼魂：在动土开工时，人们认为需要向土地神灵、过往鬼魂以及凶神恶煞进行祭拜，以避免冒犯这些神灵和鬼魂。通过祭拜，可以请求他们的协助，希望工程能够顺利开展，并驱逐可能存在的煞气和秽气。


与神明建立联系：烧香祭拜被视为一种与神明连接的桥梁。只有通过烧好的香，才能与神沟通，表达人们对神明的敬意和祈求平安顺利的愿望。


传承中华文化：工地开工祭祀仪式是一项重要的活动，不仅可以传承中华文化，更能够为工程的顺利进行提供保障。通过准备祭品、选择合适的场地并按照流程进行祭拜，可以表达对神明的敬意。


祈求平安顺利：在一些重大工程开工前，举行祭祀仪式是为了祈求施工过程中的平安顺利。这种做法体现了人们对安全和成功的重视。


遵循地方风俗习惯：在某些地区，根据当地的风俗习惯，在开工前进行祭祀是必要的。例如，洛阳一政府重点工程开工前先祭祀，这是因为施工人员是南方人，此举系按南方风俗习惯祈求大桥建设平安。


文化积淀和习俗：即使在科技发达的今天，施工单位仍然会在重大节点时进行祭祀活动，这反映了深厚的文化积淀和习俗的影响。这种做法不仅仅是迷信，而是深受传统文化和习俗影响的结果。


工地开工要祭拜的原因包括了避免冒犯神灵和鬼魂、与神明建立联系、传承中华文化、祈求平安顺利、遵循地方风俗习惯以及文化积淀和习俗的影响。这些原因共同体现了中国传统文化中对于自然和社会秩序的尊重，以及对未来的美好期许。
",['工地开工要祭拜的原因主要是为了向土地神灵、过往鬼魂以及凶神恶煞告知即将在此地兴工建宅，避免冒犯这些神灵和鬼魂，同时请求他们的协助，希望工程能够顺利开展，并驱逐可能存在的煞气和秽气。此外，烧香祭拜是一种与神明连接的桥梁，通过这种方式表达对神明的敬意和祈求保佑'],['神||鬼'],0.7263894432424828,True
"{'id': 10, 'scene': 'local_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/local_search.csv', 'language': 'zh_cn'}",巴浪鱼是哪里的方言？,"巴浪鱼是潮汕地区的方言。巴浪鱼在潮汕地区有广泛的使用和认知。例如，汕头渔港的海鱼中，巴浪鱼被提及为潮汕俗称。此外，潮汕人所说的巴浪鱼，其学名为蓝圆鲹，这表明巴浪鱼在潮汕地区的饮食文化中占有重要地位。还有证据显示，潮汕地区的居民对巴浪鱼有着特别的情感和饮食习惯，如李嘉诚每天必吃的美味就是巴浪鱼，这进一步证明了巴浪鱼在潮汕地区的流行和重要性。因此，可以确定巴浪鱼是潮汕地区的方言。
",['巴浪鱼是福建和潮汕地区的方言。'],['潮汕||福建||福州'],0.6315784847635619,True
